Time (s), Distance (in)
0,0
10,0.0349066
20,0.488692
30,0.802851
40,1.29154
50,1.98968
60,2.75762
70,3.59538
80,4.36332
90,5.23599
100,6.17847
110,7.19076
120,8.27286
130,9.38987
140,10.5767
150,11.7286
160,12.9503
170,14.1372
180,15.324
190,16.5108
200,17.7675
210,18.9543
220,20.176
230,21.3977
240,22.5846
250,23.7714
260,25.028
270,26.2148
280,27.4017
290,28.5885
300,29.7753
310,30.9621
320,32.149
330,33.3358
340,34.5226
350,35.7094
360,36.8963
370,38.0831
380,39.2699
390,40.4567
400,41.6785
410,42.8304
420,44.0521
430,45.2389
440,46.4607
450,47.6475
460,48.8343
470,50.0211
480,51.2778
490,52.4646
500,53.6514
510,54.8382
520,56.06
530,57.2468
540,58.4685
550,59.6554
560,60.8422
570,62.029
580,63.2507
590,64.4376
600,65.6593
610,66.8461
620,68.0329
630,69.2547
640,70.4415
650,71.6632
660,72.85
670,74.0369
680,75.2237
690,76.4803
700,77.6672
710,78.854
720,80.0408
730,81.2625
740,82.4494
750,83.6362
760,84.8579
770,86.0447
780,87.2316
790,88.4184
800,89.6052
810,90.792
820,91.9789
830,93.2006
840,94.3874
850,95.6091
860,96.7611
870,97.9828
880,99.1696
890,100.356
900,101.578
910,102.8
920,103.987
930,105.174
940,106.36
950,107.582
960,108.804
970,110.026
980,111.247
990,112.434
1000,113.621
1010,114.843
1020,116.064
1030,117.251
1040,118.473
1050,119.695
1060,120.882
1070,122.068
1080,123.255
1090,124.477
1100,125.699
1110,126.885
1120,128.072
1130,129.259
1140,130.481
1150,131.703
1160,132.889
1170,134.076
1180,135.298
1190,136.52
1200,137.706
1210,138.893
1220,140.115
1230,141.337
1240,142.524
1250,143.71
1260,144.932
1270,146.119
1280,147.341
1290,148.528
1300,149.714
1310,150.901
1320,152.123
1330,153.275
1340,154.497
1350,155.683
1360,156.87
1370,158.092
1380,159.279
1390,160.466
1400,161.652
1410,162.874
1420,164.096
1430,165.283
1440,166.47
1450,167.656
1460,168.913
1470,170.1
1480,171.322
1490,172.543
1500,173.73
1510,174.952
1520,176.174
1530,177.36
1540,178.582
1550,179.769
1560,180.991
1570,182.212
1580,183.434
1590,184.586
1600,185.808
1610,186.995
1620,188.181
1630,189.368
1640,190.59
1650,191.777
1660,192.999
1670,194.185
1680,195.372
1690,196.559
1700,197.746
1710,198.968
1720,200.154
1730,201.376
1740,202.563
1750,203.75
1760,204.971
1770,206.158
1780,207.38
1790,208.567
1800,209.754
1810,210.94
1820,212.197
1830,213.384
1840,214.571
1850,215.758
1860,216.944
1870,218.131
1880,219.353
1890,220.54
1900,221.727
1910,222.913
1920,224.1
1930,225.322
1940,226.509
1950,227.696
1960,228.882
1970,230.069
1980,231.291
1990,232.513
2000,233.7
2010,234.921
2020,236.143
2030,237.33
2040,238.517
2050,239.773
2060,240.96
2070,242.182
2080,243.404
2090,244.59
2100,245.777
2110,246.999
2120,248.186
2130,249.408
2140,250.594
2150,251.781
2160,253.003
2170,254.19
2180,255.377
2190,256.598
2200,257.785
2210,259.007
2220,260.194
2230,261.381
2240,262.602
2250,263.789
2260,265.011
2270,266.233
2280,267.419
2290,268.606
2300,269.828
2310,271.05
2320,272.236
2330,273.458
2340,274.68
2350,275.867
2360,277.054
2370,278.24
2380,279.427
2390,280.649
2400,281.871
2410,283.057
2420,284.244
2430,284.838
2440,286.618
2450,287.805
2460,289.027
2470,290.248
2480,291.435
2490,292.622
2500,293.809
2510,295.03
2520,296.252
2530,297.439
2540,298.696
2550,299.882
2560,301.104
2570,302.326
2580,303.513
2590,304.7
2600,305.956
2610,307.143
2620,308.33
2630,309.517
2640,310.738
2650,311.332
2660,313.147
2670,314.334
2680,315.521
2690,316.707
2700,317.894
2710,319.081
2720,320.268
2730,321.49
2740,322.711
2750,323.898
2760,325.085
2770,326.272
2780,327.459
2790,328.645
2800,329.832
2810,331.019
2820,332.241
2830,333.428
2840,334.649
2850,335.836
2860,337.023
2870,337.651
2880,339.432
2890,340.618
2900,341.84
2910,343.027
2920,344.214
2930,345.401
2940,346.587
2950,347.774
2960,348.996
2970,350.183
2980,351.405
2990,352.591
3000,353.778
